model organisms						5-7
chromosomes						11-15
cellular reproduction						11-15
prokaryotic cells						11-15, 17
eukaryotic cells						11-15, 17
prokaryotic copying genetic material	4					18
prokaryotic separation of the copies	6					18
prokaryotic cell division	4	6				18
eukaryotic copying genetic material	5					11-15
eukaryotic separation of the copies	5					11-15
eukaryotic cell division	5	10				18-25
cell cycle - mitosis	11					21-23
chromosomes and DNA						11-15
meiosis	5					26-28
genetic variation due to meiosis	14					29-30
chromatids	13					31-32
meiosis in the life cycle	14					33-35
Gregor Mendel's contributions						44-46
monohybrid crosses						48
Segregration	19					46
